id,name,age,job,balance,housing,loan,y
209,Olivia,49,Analyst,1731,no,no,no
210,Liam,49,Programmer,2228,no,yes,no
211,Charlie,43,Engineer,1834,no,yes,no
212,Bob,54,Scientist,4820,no,yes,no
213,Olivia,37,Scientist,4797,no,no,no
214,Emma,39,Artist,3964,yes,no,no
215,Alice,39,Analyst,4721,yes,yes,no
216,John,39,Nurse,3042,yes,no,yes
217,John,25,Programmer,4454,no,yes,no
218,Alice,49,Programmer,3385,yes,yes,no
219,Bob,41,Programmer,2718,no,no,yes
220,Sophia,53,Teacher,4340,no,no,no
221,Sophia,58,Manager,4843,no,no,yes
222,Emma,47,Scientist,2595,yes,yes,no
223,Liam,29,Manager,4235,no,no,no
224,Jane,42,Teacher,2475,no,no,no
225,Emma,50,Nurse,1226,no,no,no
226,Charlie,44,Scientist,1750,yes,no,yes
227,Doe,22,Manager,4258,yes,yes,yes
228,Jane,27,Nurse,642,no,no,yes
229,Charlie,26,Doctor,4487,yes,yes,no
230,Bob,36,Nurse,1597,yes,yes,no
231,Olivia,35,Teacher,2178,yes,no,no
232,Jane,46,Scientist,2184,yes,no,yes
233,Emma,60,Scientist,3525,no,no,no
234,John,32,Engineer,3589,yes,no,no
235,Olivia,39,Artist,2937,no,yes,no
236,John,54,Engineer,652,yes,no,no
237,John,50,Analyst,3202,yes,no,yes
238,Alice,55,Scientist,4408,yes,no,yes
239,Olivia,38,Engineer,1014,yes,no,yes
240,Doe,47,Scientist,3491,no,yes,yes
241,Doe,46,Programmer,1097,yes,no,yes
242,Emma,35,Doctor,2557,no,yes,yes
243,John,25,Analyst,2917,no,no,yes
244,Jane,47,Engineer,3926,no,no,no
245,Alice,51,Scientist,1019,yes,yes,yes
246,Emma,22,Doctor,2850,no,no,no
247,John,41,Analyst,4750,yes,no,yes
248,Charlie,57,Scientist,3221,yes,yes,no
249,Charlie,30,Programmer,1664,no,yes,yes
250,Alice,44,Engineer,4193,no,yes,yes
251,Sophia,60,Doctor,2553,no,no,yes
252,Alice,47,Artist,2820,no,no,yes
253,Bob,23,Teacher,1822,yes,no,no
254,Bob,40,Doctor,872,yes,no,no
255,Charlie,24,Lawyer,2535,yes,no,no
256,Olivia,42,Analyst,3004,yes,yes,yes
257,Jane,49,Teacher,4394,yes,no,no
258,John,49,Doctor,3283,yes,yes,yes
259,Sophia,60,Nurse,576,no,yes,yes
260,Sophia,38,Artist,4620,yes,yes,yes
261,Bob,45,Nurse,2405,yes,no,yes
262,Olivia,35,Engineer,4471,yes,yes,yes
263,Liam,40,Scientist,3008,no,yes,no
264,John,37,Programmer,3473,no,no,no
265,Olivia,25,Lawyer,2406,yes,no,yes
266,Charlie,48,Artist,4644,yes,no,no
267,Charlie,51,Artist,3880,no,no,no
268,Bob,22,Analyst,921,no,no,yes
269,Liam,46,Analyst,3863,yes,yes,yes
270,John,58,Programmer,3097,yes,yes,yes
271,Doe,42,Teacher,3010,no,yes,no
272,Sophia,58,Analyst,2925,no,yes,yes
273,Sophia,35,Manager,1265,yes,yes,no
274,Alice,55,Manager,4056,no,no,no
275,Bob,38,Analyst,2650,no,yes,yes
276,Liam,31,Analyst,2163,no,no,yes
277,Liam,33,Programmer,1221,yes,yes,no
278,Charlie,23,Doctor,2960,no,no,yes
279,Doe,47,Artist,4821,no,yes,no
280,Charlie,55,Nurse,4873,yes,no,yes
281,Emma,32,Lawyer,3228,yes,no,no
282,Jane,27,Analyst,3320,yes,no,yes
283,Alice,59,Nurse,4442,yes,no,no
284,Alice,45,Scientist,2888,no,yes,no
285,Alice,56,Teacher,4688,yes,no,no
286,Sophia,57,Teacher,1134,yes,no,yes
287,Emma,23,Manager,3065,yes,no,no
288,Doe,49,Analyst,2480,yes,no,yes
289,John,56,Analyst,2129,yes,yes,yes
290,Doe,31,Artist,3814,no,no,yes
291,John,53,Lawyer,4241,no,no,yes
292,Bob,41,Teacher,3965,yes,no,no
293,Olivia,28,Manager,2501,no,yes,yes
294,Emma,51,Lawyer,3122,yes,no,yes
295,Jane,28,Manager,3295,yes,yes,no
296,Alice,46,Engineer,4959,yes,yes,yes
297,Olivia,31,Engineer,3653,yes,yes,no
298,Jane,40,Nurse,2763,no,no,yes
299,Bob,43,Manager,2823,no,no,yes
300,Jane,37,Lawyer,2259,yes,yes,yes
301,Liam,41,Analyst,2080,yes,yes,no
302,John,31,Manager,1545,no,yes,no
303,Jane,27,Engineer,4473,no,yes,no
304,Liam,42,Artist,3404,no,yes,no
305,Bob,53,Programmer,2752,no,no,no
306,Alice,41,Doctor,3738,no,no,no
307,Liam,48,Analyst,3924,no,no,yes
308,John,49,Artist,4096,no,yes,yes
309,Alice,54,Teacher,4008,yes,yes,no
310,Liam,50,Manager,2074,no,no,no
311,Doe,48,Lawyer,730,no,yes,no
312,John,40,Scientist,2535,yes,no,yes
313,Olivia,22,Programmer,886,yes,yes,yes
314,Olivia,28,Analyst,806,no,yes,no
315,Sophia,27,Engineer,4696,no,yes,yes
316,John,35,Lawyer,2750,no,no,yes
317,Bob,34,Scientist,4180,no,yes,yes
318,John,54,Analyst,1630,no,yes,yes
319,Liam,47,Manager,2551,yes,yes,no
320,Bob,40,Manager,3666,no,no,yes
321,Bob,34,Nurse,1705,yes,no,no
322,Emma,51,Lawyer,3243,no,no,no
323,Emma,42,Engineer,4735,yes,yes,no
324,Liam,41,Lawyer,4449,yes,yes,no
325,Doe,38,Engineer,2850,yes,no,no
326,Jane,30,Teacher,2880,no,no,no
327,Olivia,30,Analyst,531,yes,yes,no
328,John,37,Manager,2569,no,no,yes
329,Charlie,30,Artist,3682,yes,yes,no
330,Olivia,48,Doctor,698,yes,yes,yes
331,Olivia,58,Scientist,4559,yes,yes,yes
332,Alice,55,Teacher,2803,yes,no,yes
333,Charlie,45,Programmer,3298,no,yes,yes
334,Emma,25,Doctor,4978,yes,no,yes
335,Doe,48,Engineer,2749,yes,no,no
336,Alice,37,Doctor,1253,no,yes,yes
337,Olivia,33,Teacher,3596,yes,yes,no
338,Emma,47,Scientist,1117,yes,no,yes
339,Bob,50,Artist,4806,yes,no,yes
340,Jane,39,Engineer,1973,no,no,yes
341,John,48,Engineer,2500,no,no,yes
342,Doe,29,Scientist,3852,yes,no,no
343,Emma,50,Engineer,2488,yes,no,no
344,Olivia,57,Lawyer,3420,no,no,no
345,Olivia,44,Manager,2685,no,no,yes
346,Sophia,37,Programmer,2837,no,no,yes
347,Jane,29,Lawyer,2933,yes,yes,yes
348,Charlie,56,Analyst,4598,yes,no,yes
349,Doe,49,Engineer,4096,yes,no,no
350,Olivia,27,Engineer,4745,no,yes,yes
351,Charlie,41,Programmer,3773,no,yes,no
352,Jane,41,Engineer,4481,yes,no,no
353,John,48,Nurse,3737,no,no,no
354,Bob,48,Lawyer,1974,yes,yes,yes
355,Charlie,37,Doctor,3773,yes,yes,no
356,Emma,45,Manager,3017,yes,yes,no
357,Alice,57,Artist,3724,no,no,yes
358,Sophia,44,Doctor,1868,yes,yes,yes
359,John,55,Artist,1398,yes,no,yes
360,Bob,50,Teacher,569,yes,yes,yes
361,Alice,56,Teacher,2053,no,no,no
362,Liam,53,Doctor,1767,yes,yes,yes
363,Olivia,33,Manager,901,no,yes,yes
364,Sophia,36,Programmer,2230,yes,no,yes
365,Doe,29,Analyst,589,yes,no,yes
366,Bob,26,Engineer,1577,yes,no,no
367,Alice,52,Engineer,1210,no,no,no
368,Alice,25,Scientist,2132,no,no,yes
369,Olivia,49,Teacher,3729,yes,yes,no
370,Bob,40,Artist,4783,no,yes,yes
371,Alice,48,Engineer,4221,yes,yes,yes
372,Bob,57,Analyst,2846,yes,yes,no
373,Doe,22,Artist,2950,no,yes,yes
374,Liam,55,Programmer,2303,no,no,no
375,Emma,23,Analyst,4890,no,yes,no
376,Bob,27,Engineer,3949,no,yes,no
377,John,47,Engineer,3877,no,no,yes
378,Alice,25,Nurse,791,yes,yes,no
379,Emma,26,Engineer,4247,yes,yes,yes
380,Olivia,52,Doctor,4583,yes,no,no
381,Jane,58,Programmer,1837,no,no,no
382,Alice,44,Doctor,1738,no,yes,no
383,Bob,35,Teacher,689,yes,yes,no
384,Liam,37,Nurse,3457,yes,yes,yes
385,Jane,33,Analyst,2020,yes,yes,no
386,John,55,Artist,4763,no,yes,yes
387,Alice,30,Programmer,4105,no,yes,yes
388,Alice,27,Doctor,4038,yes,no,no
389,Liam,29,Artist,1384,no,no,yes
390,Jane,29,Scientist,2788,yes,yes,yes
391,Doe,59,Scientist,2727,no,yes,no
392,Charlie,31,Teacher,4273,yes,no,yes
393,Charlie,52,Analyst,1116,yes,yes,yes
394,Jane,60,Scientist,4181,no,no,yes
395,John,25,Doctor,3632,no,yes,yes
396,Jane,57,Programmer,1067,yes,yes,no
397,Doe,42,Lawyer,4708,yes,yes,yes
398,Alice,29,Programmer,4430,yes,no,yes
399,John,34,Manager,3442,yes,no,no
400,John,24,Artist,2314,no,no,no
401,Jane,30,Manager,4478,yes,no,no
402,John,34,Artist,3701,yes,yes,no
403,Charlie,32,Programmer,4665,no,no,yes
404,Bob,25,Programmer,2027,yes,yes,no
405,Liam,35,Scientist,3615,no,no,no
406,Alice,50,Nurse,1650,yes,no,yes
407,Bob,38,Doctor,1392,no,yes,no
408,Alice,56,Engineer,4146,no,no,yes
409,Emma,54,Artist,1499,no,no,no
410,Sophia,49,Analyst,1678,no,yes,yes
411,Alice,54,Artist,2198,no,no,no
412,Doe,38,Teacher,4866,no,no,no
413,Alice,49,Teacher,2945,no,yes,no
414,Liam,42,Scientist,3295,yes,yes,yes
415,Alice,33,Artist,4185,yes,no,yes
416,Olivia,31,Lawyer,1585,yes,no,no
417,Olivia,30,Programmer,1653,yes,yes,no
418,Liam,26,Manager,2219,no,yes,no
419,Emma,54,Nurse,4849,no,yes,no
420,Emma,32,Manager,4798,no,no,no
421,Sophia,46,Scientist,4956,no,no,yes
422,Bob,48,Engineer,3472,no,no,no
423,Olivia,27,Lawyer,956,no,yes,no
424,Sophia,51,Programmer,781,no,no,no
425,Liam,44,Programmer,2222,yes,yes,yes
426,Jane,32,Manager,1494,no,yes,no
427,Olivia,28,Doctor,3555,yes,no,no
428,Bob,54,Programmer,708,no,no,yes
429,Liam,26,Analyst,3175,no,yes,yes
430,Charlie,54,Engineer,4716,yes,no,yes
431,Bob,51,Nurse,3752,no,yes,no
432,Liam,35,Manager,553,no,no,no
433,Olivia,53,Nurse,4163,yes,no,yes
434,Doe,25,Artist,3612,yes,no,no
435,Liam,42,Engineer,3535,yes,no,yes
436,Jane,26,Teacher,3139,yes,yes,no
437,Alice,54,Doctor,566,no,yes,no
438,Charlie,53,Doctor,3985,no,yes,yes
439,Sophia,36,Engineer,4201,yes,no,no
440,John,52,Teacher,4064,no,yes,no
441,Doe,51,Artist,3856,no,no,yes
442,Sophia,36,Teacher,1637,yes,yes,yes
443,Alice,57,Artist,1573,yes,no,yes
444,Olivia,37,Lawyer,3173,yes,yes,no
445,Olivia,26,Manager,741,no,yes,no
446,Olivia,42,Analyst,646,yes,yes,no
447,Emma,47,Scientist,2213,yes,no,no
448,Bob,35,Teacher,4114,no,yes,yes
449,Alice,58,Programmer,3161,yes,yes,yes
450,Jane,55,Nurse,3195,no,no,no
451,Liam,27,Doctor,2497,yes,yes,no
452,Doe,24,Artist,2140,no,no,yes
453,Liam,24,Lawyer,2680,yes,no,yes
454,Olivia,43,Nurse,3755,no,no,no
455,Liam,37,Analyst,1469,no,no,no
456,John,41,Doctor,1603,no,no,yes
457,Bob,41,Scientist,2197,yes,no,yes
458,Olivia,36,Manager,3157,no,yes,no
459,Doe,43,Artist,4106,yes,yes,no
460,Olivia,34,Teacher,2951,yes,no,yes
461,Olivia,47,Programmer,1640,yes,no,yes
462,Alice,24,Doctor,2379,no,no,no
463,Doe,47,Scientist,2028,yes,yes,no
464,Alice,38,Manager,4097,no,no,yes
465,Jane,58,Doctor,2212,no,no,no
466,Olivia,55,Programmer,4490,no,no,yes
467,Jane,41,Lawyer,4668,no,no,yes
468,Jane,28,Analyst,1480,yes,yes,no
469,Sophia,26,Teacher,3443,no,no,no
470,Emma,45,Engineer,3594,yes,no,yes
471,Bob,44,Nurse,2037,yes,yes,no
472,Liam,54,Teacher,743,yes,no,no
473,Doe,43,Analyst,4500,no,no,no
474,Charlie,52,Nurse,2782,no,no,yes
475,Alice,24,Artist,3202,yes,no,no
476,Olivia,44,Scientist,4976,no,yes,no
477,Olivia,22,Manager,3904,yes,yes,no
478,Alice,52,Lawyer,2776,yes,no,no
479,John,23,Analyst,2461,yes,yes,yes
480,Charlie,56,Artist,2074,yes,no,no
481,Olivia,56,Lawyer,2269,yes,no,no
482,Emma,41,Teacher,757,no,yes,yes
483,Jane,48,Doctor,4953,yes,no,yes
484,Sophia,24,Programmer,1829,yes,no,yes
485,Sophia,38,Teacher,2746,yes,yes,no
486,Liam,47,Artist,3360,yes,no,no
487,Charlie,45,Lawyer,720,yes,yes,no
488,Liam,30,Lawyer,1320,yes,no,no
489,Emma,50,Engineer,4622,yes,no,no
490,Emma,37,Analyst,3689,yes,no,yes
491,Alice,25,Artist,3662,yes,yes,yes
492,Jane,28,Engineer,3856,no,no,yes
493,Doe,42,Manager,4564,yes,no,no
494,Liam,60,Nurse,1617,no,no,no
495,Sophia,33,Artist,4234,no,yes,no
496,Jane,38,Teacher,2900,yes,yes,yes
497,Bob,30,Artist,3840,no,yes,yes
498,Jane,25,Artist,1608,yes,no,yes
499,Emma,32,Programmer,4617,no,yes,no
500,Sophia,31,Nurse,1277,yes,no,no
501,Olivia,60,Analyst,948,no,no,no
502,Jane,29,Programmer,1250,yes,no,no
503,John,52,Manager,1868,yes,yes,yes
504,Bob,38,Programmer,2866,yes,yes,no
505,Alice,29,Programmer,1168,yes,yes,no
506,Jane,41,Artist,1965,yes,yes,no
507,Sophia,43,Programmer,4988,no,yes,yes
508,John,54,Nurse,4457,yes,yes,yes
509,Alice,50,Analyst,4548,yes,no,no
510,Alice,53,Manager,2818,yes,no,no
511,Bob,51,Artist,2056,yes,no,no
512,Alice,49,Engineer,1871,yes,no,yes
513,Charlie,26,Artist,3384,yes,no,yes
514,Jane,22,Programmer,1582,no,yes,no
515,Doe,54,Lawyer,3098,yes,no,no
516,Charlie,30,Programmer,4205,yes,yes,no
517,Liam,47,Nurse,1807,yes,yes,no
518,Jane,38,Lawyer,812,no,no,no
519,John,47,Lawyer,1706,yes,yes,yes
520,John,53,Lawyer,2995,yes,yes,no
521,Sophia,34,Analyst,2180,no,yes,yes
522,Sophia,59,Engineer,554,yes,no,no
523,John,34,Lawyer,3688,no,no,no
524,Alice,58,Scientist,4542,yes,no,yes
525,Emma,27,Nurse,2079,yes,yes,no
526,John,24,Lawyer,4819,no,yes,no
527,Bob,48,Scientist,4398,no,no,no
528,Alice,30,Teacher,3104,no,yes,yes
529,Charlie,60,Nurse,3365,no,yes,yes
530,John,58,Programmer,1962,yes,yes,yes
531,Olivia,60,Scientist,2505,no,no,yes
532,Liam,41,Doctor,3778,yes,no,yes
533,Sophia,52,Artist,2551,yes,no,yes
534,Emma,35,Lawyer,4436,yes,yes,no
535,Emma,31,Analyst,3144,no,no,yes
536,Bob,45,Artist,3777,yes,no,yes
537,Olivia,57,Manager,838,yes,yes,yes
538,Alice,51,Nurse,2446,yes,yes,no
539,Bob,24,Artist,3137,no,yes,yes
540,John,35,Engineer,3687,yes,yes,yes
541,Alice,41,Teacher,4407,no,yes,no
542,Emma,50,Doctor,3219,no,yes,no
543,Doe,28,Scientist,4801,yes,no,no
544,Olivia,47,Lawyer,2453,no,no,no
545,Bob,53,Engineer,4991,no,yes,no
546,Doe,34,Artist,3509,no,no,yes
547,Liam,60,Teacher,4678,yes,no,yes
548,Olivia,30,Manager,3472,no,yes,yes
549,Charlie,59,Programmer,4966,yes,no,no
550,Doe,52,Nurse,853,yes,yes,yes
551,Doe,55,Lawyer,4453,no,yes,yes
552,Alice,28,Nurse,1300,yes,yes,yes
553,Jane,45,Engineer,3044,yes,no,yes
554,Sophia,34,Manager,1077,yes,no,yes
555,Charlie,50,Teacher,4893,no,no,no
556,Jane,28,Teacher,2872,yes,no,yes
557,John,51,Lawyer,2312,no,yes,yes
558,John,56,Nurse,2244,yes,yes,no
559,Bob,37,Nurse,4971,no,no,no
560,Olivia,28,Scientist,2302,no,yes,yes
561,Doe,37,Programmer,2516,no,yes,yes
562,John,46,Engineer,772,no,no,no
563,Olivia,31,Scientist,1300,yes,no,no
564,Sophia,45,Programmer,2491,no,no,no
565,Alice,25,Lawyer,2727,no,no,yes
566,Liam,54,Programmer,2602,no,yes,yes
567,Charlie,57,Artist,3943,no,no,no
568,Bob,60,Engineer,4653,yes,yes,no
569,Charlie,29,Programmer,710,yes,no,yes
570,Bob,36,Engineer,2662,no,yes,yes
571,Emma,36,Analyst,815,yes,yes,yes
572,Alice,27,Engineer,2942,yes,yes,no
573,John,53,Manager,2510,no,yes,yes
574,Emma,55,Analyst,4927,yes,yes,yes
575,Bob,50,Lawyer,3645,no,no,yes
576,John,31,Programmer,3027,no,no,yes
577,Charlie,28,Teacher,2919,no,yes,yes
578,Emma,29,Lawyer,3856,no,yes,yes
579,Jane,52,Artist,4675,yes,no,yes
580,Charlie,37,Artist,1692,yes,no,yes
581,Alice,48,Analyst,1219,no,yes,yes
582,Emma,26,Scientist,3818,yes,yes,no
583,Emma,54,Programmer,4331,yes,yes,yes
584,Olivia,52,Doctor,4628,no,yes,yes
585,John,41,Scientist,892,no,no,no
586,Olivia,59,Engineer,2296,no,no,no
587,Bob,22,Manager,2309,yes,yes,yes
588,Charlie,48,Manager,4341,no,no,no
589,John,22,Analyst,4109,yes,no,yes
590,Doe,43,Artist,1899,no,no,no
591,Alice,42,Artist,2447,no,no,yes
592,Jane,26,Analyst,1909,no,yes,no
593,Emma,34,Manager,1618,no,yes,yes
594,Olivia,31,Engineer,3478,yes,no,no
595,Alice,31,Artist,4534,no,no,yes
596,Olivia,47,Scientist,559,no,no,no
597,Emma,29,Programmer,2415,yes,no,yes
598,Sophia,50,Teacher,974,no,yes,yes
599,Jane,27,Scientist,4883,yes,yes,no
